
> eventology@0.1.0 dev
> next dev

   ▲ Next.js 16.0.10 (Turbopack)
   - Local:         http://localhost:3000
   - Network:       http://192.168.0.2:3000

 ✓ Starting...
Attention: Next.js now collects completely anonymous telemetry regarding usage.
This information is used to shape Next.js' roadmap and prioritize features.
You can learn more, including how to opt-out if you'd not like to participate in this anonymous program, by visiting the following URL:
https://nextjs.org/telemetry

 ✓ Ready in 1447ms
 ○ Compiling /login ...
 GET /login 200 in 115ms (compile: 7ms, render: 109ms)
 POST /api/auth/login 200 in 10ms (compile: 3ms, render: 7ms)
 GET / 200 in 31ms (compile: 5ms, render: 26ms)
 GET /api/settings 200 in 11ms (compile: 5ms, render: 6ms)
 GET /api/settings 200 in 6ms (compile: 2ms, render: 4ms)
 GET /admin 200 in 104ms (compile: 4ms, render: 100ms)
 GET /api/applications 200 in 8ms (compile: 3ms, render: 5ms)
 GET /api/inquiries 200 in 8ms (compile: 4ms, render: 4ms)
 GET /api/settings 200 in 12ms (compile: 8ms, render: 3ms)
 GET /api/users 200 in 5ms (compile: 1767µs, render: 4ms)
 GET /signup 200 in 83ms (compile: 4ms, render: 79ms)
 GET / 200 in 163ms (compile: 4ms, render: 159ms)
 GET /admin 200 in 82ms (compile: 6ms, render: 76ms)
 GET / 200 in 36ms (compile: 4ms, render: 32ms)
 GET /api/settings 200 in 11ms (compile: 4ms, render: 7ms)
 GET /api/settings 200 in 9ms (compile: 3ms, render: 7ms)
 GET / 200 in 121ms (compile: 4ms, render: 117ms)
 GET /api/settings 200 in 14ms (compile: 6ms, render: 8ms)
 POST /api/applications 201 in 9ms (compile: 3ms, render: 6ms)
 GET /login 200 in 101ms (compile: 4ms, render: 97ms)
 POST /api/auth/login 200 in 9ms (compile: 4ms, render: 6ms)
 GET / 200 in 30ms (compile: 4ms, render: 26ms)
 GET /api/settings 200 in 9ms (compile: 3ms, render: 6ms)
 GET /admin 200 in 91ms (compile: 5ms, render: 86ms)
 GET /api/applications 200 in 7ms (compile: 3ms, render: 4ms)
 GET /api/inquiries 200 in 9ms (compile: 4ms, render: 5ms)
 GET /api/settings 200 in 16ms (compile: 11ms, render: 5ms)
